Text,WhoSaid,Context,SourceType,SourceKey
"Suddenly we could all smell burning. It was dreadful, an awful smell. My Dad was the first to realise that it was Brian's boots - they were melting!",Helen McConnell,On Brian warming his feet too close to the fire while staying with her family,AsItBeganBook,suddenly-we-could-all-smell-burning-it-was-dreadful-an-awf-helen-mcconnell
He jumped up and down in a manner most incongruous.,Brian May,On short-lived bassist Doug's over-the-top stage antics before he was fired,AsItBeganBook,he-jumped-up-and-down-in-a-manner-most-incongruous-brian-may
I'll call you soon...,John Anthony,"Producer, after watching Queen play Imperial College with their new line-up, 11 July 1971",AsItBeganBook,i-ll-call-you-soon-john-anthony
"That night we saw such an improvement. They were brilliant; they were happier with each other, they were well rehearsed. It just came across to us, and we felt that we were witnessing the emergence of a band of star status.",Wendy Edmunds,"Freddie's dressmaker friend, on a 1970 Queen gig",AsItBeganBook,that-night-we-saw-such-an-improvement-they-were-brilliant-wendy-edmunds
"I was in a position to give them work. I knew talent when I saw it, and they had it in abundance, all they needed was a break.",Ken Testi,On booking early Queen gigs on Merseyside,AsItBeganBook,i-was-in-a-position-to-give-them-work-i-knew-talent-when-i-ken-testi
"They were very fussy. The songs were done one by one. They would carry on until they thought it was right. It sometimes took a very long time. But they put up with so much shit too, during that time.",Louie Austin,"Producer/engineer at De Lane Lea studios, on early Queen sessions",AsItBeganBook,they-were-very-fussy-the-songs-were-done-one-by-one-they-w-louie-austin
"I had heard Wreckage play this track in a rehearsal, and particularly liked one riff, but the rest of the song was changed drastically by the four of us, using some of my own riffs and Freddie's words.",Brian May,On the origins of the song 'Liar',AsItBeganBook,i-had-heard-wreckage-play-this-track-in-a-rehearsal-and-par-brian-may
As far as I'm concerned the person who wrote the words has effectively written the song.,Freddie Mercury,On the band's early songwriting-credit rule,AsItBeganBook,as-far-as-i-m-concerned-the-person-who-wrote-the-words-has-e-freddie-mercury
"It took Freddie nearly six months to finally ask me out! I thought he fancied my best friend, so I used to avoid him. One night we were at one of his gigs, and after it had finished he came looking for me. I left him at the bar with my friend to go to the loo, but I actually sneaked out. He was furious!",Mary Austin,On how she and Freddie got together,AsItBeganBook,it-took-freddie-nearly-six-months-to-finally-ask-me-out-i-t-mary-austin
"There was never a doubt, darling, never. I just knew we would make it, and I told everyone who asked just that.",Freddie Mercury,"On Queen's prospects at the end of 1971, still largely unknown",AsItBeganBook,there-was-never-a-doubt-darling-never-i-just-knew-we-woul-freddie-mercury
"I found that first tape interesting. You could tell there was talent individually, and they could play, they were good musicians. But I was wary of making a full commitment at such an early stage.",Norman Sheffield,"Trident boss, on first hearing Queen's demo tape",AsItBeganBook,i-found-that-first-tape-interesting-you-could-tell-there-wa-norman-sheffield
"I heard that Queen sound, and I just knew it had promise, how could I not? I knew that John Anthony had a good ear for talent, and this was yet more proof of that.",Jack Nelson,"Queen's early manager, on first hearing the demo tape",AsItBeganBook,i-heard-that-queen-sound-and-i-just-knew-it-had-promise-ho-jack-nelson
"They all told me that Queen just weren't going to happen. They were crazy. But I had to find someone who was qualified - we had an investment in Queen, and their careers.",Jack Nelson,On the difficulty of finding Queen a manager,AsItBeganBook,they-all-told-me-that-queen-just-weren-t-going-to-happen-th-jack-nelson
"No, no, no. I've got a group called Humble Pie who are going to be much bigger than this group will ever be.",Dee Anthony,"American manager, declining to take on Queen, 1972",AsItBeganBook,no-no-no-i-ve-got-a-group-called-humble-pie-who-are-going-dee-anthony
